"Module status (enabled)","Статус модуля (увімкнений)"
"Payment method name","Назва платіжного методу"
"Text displayed during checkout","Текст, що виводиться під час оформлення замовлення"
"Merchant ID","Ідентифікатор продавця"
"Merchant ID in the ConcordPay system","Ідентифікатор продавця в системі ConcordPay"
"Secret key","Секретний ключ"
"Secret key in the ConcordPay system","Секретний ключ продавця в системі ConcordPay"
"New order status","Статус нового замовлення"
"Order status after creation","Статус замовлення після створення"
"Status after payment","Статус після оплати"
"Order status after successful payment","Статус замовлення після успішної оплати"
"Status after payment refund","Статус після повернення платежу"
"Order status after payment is returned to the customer","Статус замовлення після повернення коштів покупцеві"
"ConcordPay payment page language","Мова сторінки оплати ConcordPay"
"Payment Visa, Mastercard, Google Pay, Apple Pay","Оплата Visa, Mastercard, Google Pay, Apple Pay"
"Payment by card on the site","Оплата карткою на сайті"
"Russian","Російська"
"Ukrainian","Українська"
"English","Англійска"
"Ukrainian Hryvnia","Українська Гривня"
"Russian Ruble","Російський Рубль"
"U.S. Dollar","Долар США"
"Euro","Євро"
